filename,band_id,x_center,median_l,median_a,median_b,median_c,delta_chroma,std_l,label_id
509.bmp,1,36,31.98,17.48,-21.65,27.83,23.98,1.37,7
509.bmp,2,54,29,9.27,0.24,9.28,8.47,1.64,1
509.bmp,3,73,54.46,0.03,0.02,0.03,3.98,1.45,10
511.bmp,0,13,60.13,-6.91,25.38,26.3,29.02,0.49,4
511.bmp,1,33,30.51,21.92,-24.39,32.79,30.16,1.03,7
511.bmp,2,52,27.87,9.56,-0.62,9.58,8.6,1.99,1
511.bmp,3,74,53.81,-0.48,4.81,4.84,7.5,2.13,10
513.bmp,0,22,44.09,-0.07,22.9,22.9,10.87,2.16,1
513.bmp,1,37,25.82,-8.67,15.09,17.4,7.32,14.5,0
513.bmp,2,49,51.7,4.54,34.91,35.21,23.63,1.43,3
513.bmp,3,94,55.81,-7.47,23.48,24.64,12.57,5.5,10
514.bmp,0,15,79.21,-6.91,20.95,22.06,7.77,5.13,10
514.bmp,1,49,41.31,16.36,19.28,25.29,17.49,8.54,1
514.bmp,2,66,78.74,-1.2,1.64,2.03,14.47,2.8,9
514.bmp,3,86,56.46,4.73,35.16,35.47,19.84,2.32,3
515.bmp,0,11,52.62,-4.89,14.97,15.75,5.23,3.06,10
515.bmp,1,53,52.83,6.89,23.94,24.91,16.17,1.98,3
515.bmp,2,67,23.94,-7.69,11.97,14.22,5.73,11.93,0
515.bmp,3,85,44.91,1.92,11.66,11.81,4.22,1.36,1
516.bmp,0,13,52.83,-3.84,1.91,4.29,21.19,4.97,8
516.bmp,1,31,40.75,36.83,31.97,48.77,35.62,6.28,2
516.bmp,2,48,41.64,34.44,29.64,45.44,32.71,6.58,2
516.bmp,3,75,56.37,-6.06,25.83,26.53,9.44,4.15,10
517.bmp,0,10,32.59,12.28,22.34,25.5,9.67,3.12,1
517.bmp,1,31,13.27,-3.07,16.53,16.81,13.42,11.18,0
517.bmp,2,51,39.61,40.89,31.62,51.69,36.82,2.53,2
517.bmp,3,73,55.37,-1.8,27.91,27.97,6.07,5.73,10
518.bmp,0,12,32.4,7.41,30.14,31.04,5.26,4.77,1
518.bmp,1,33,19.37,-3.38,20.36,20.64,10.4,7.25,0
518.bmp,2,53,45.23,34.39,34.14,48.46,32.53,3.69,2
518.bmp,3,74,66.19,0.86,29.19,29.2,1.39,1.42,10
519.bmp,0,38,42.03,29.34,24.11,37.98,32.63,5.32,2
519.bmp,1,56,34.33,7.38,19.61,20.95,10.48,5.44,1
519.bmp,2,73,44.37,-26.28,14.44,29.99,23.95,2.34,5
520.bmp,0,14,47.47,-0.08,28.43,28.43,3.05,4.3,10
520.bmp,1,39,48.75,23.43,41.23,47.43,29.27,4.17,3
520.bmp,2,57,31.15,17.54,18.73,25.66,20.12,1.82,1
520.bmp,3,77,47.14,-24.13,17.88,30.04,24.07,2.29,5
521.bmp,0,14,48.48,-0.95,24.27,24.29,3.07,5.45,10
521.bmp,1,39,36.22,29.84,23.16,37.77,31.75,2.21,2
521.bmp,2,57,33.53,33.54,26.37,42.66,35.75,2.9,2
521.bmp,3,77,35.61,10.67,19.21,21.98,12.7,6.31,1
522.bmp,0,12,69.14,-1.89,33.94,33.99,5.16,2.87,10
522.bmp,1,35,39.63,12.31,22.83,25.94,14.36,1.98,1
522.bmp,2,57,44.94,8.95,-18.95,20.96,53.24,3.09,7
522.bmp,3,77,49.39,30.66,29.16,42.31,27.81,3.99,2
523.bmp,0,13,43.55,-4.58,27.27,27.65,7.89,8.67,10
523.bmp,1,36,25.91,3.06,19.79,20.02,3.03,3.04,1
523.bmp,2,57,49.68,-14.24,19.35,24.03,14.66,3.49,5
523.bmp,3,75,38.91,10.43,-19.17,21.83,41.5,1.55,7
524.bmp,0,10,49.78,-2.86,21.34,21.53,3.25,6.98,10
524.bmp,1,31,42.39,27.03,35.66,44.74,33.43,4.88,3
524.bmp,2,52,77.14,-1.42,7.41,7.54,10.95,8.33,9
524.bmp,3,71,46.84,17.14,39.78,43.32,28.45,1.47,3
525.bmp,0,17,52.08,-5.28,0.47,5.3,20.74,1.52,8
525.bmp,1,34,42.98,44.91,30.84,54.48,45.41,1.79,2
525.bmp,2,51,45.81,34.34,27.92,44.26,34.46,4.12,2
525.bmp,3,80,55.97,-5.27,22.84,23.44,6.51,2.03,10
526.bmp,0,13,38.09,25.86,6.16,26.58,53.83,2.07,2
526.bmp,1,31,36.73,23.91,-0.84,23.92,46.71,1.89,2
526.bmp,2,46,16.88,-0.83,-10.95,10.98,31.32,4.34,0
526.bmp,3,61,15.36,-6.12,-6.44,8.89,36.63,9.21,0
526.bmp,4,79,28.77,-3.39,6.02,6.91,48.47,7.69,1
527.bmp,0,13,77.81,-3.36,4.81,5.87,13.43,2.68,9
527.bmp,1,31,22.75,8.72,21.5,23.2,11.81,3.17,1
527.bmp,2,53,29.57,33.48,22.38,40.27,36.35,5.55,2
527.bmp,3,69,43.63,-1.88,19.02,19.11,1.09,5.1,10
528.bmp,0,19,58.31,9.84,-13.57,16.76,44.63,0.79,7
528.bmp,1,36,44.77,-24.63,13.88,28.28,30.06,3.81,5
528.bmp,2,59,41.77,36.11,26.03,44.51,35.68,2.23,2
528.bmp,3,81,53.33,-1.54,18.55,18.61,11.77,5.1,10
529.bmp,0,12,49.73,-18.7,26.94,32.79,20.18,5.65,5
529.bmp,1,31,31.68,8.61,29.62,30.85,8.99,6.04,1
529.bmp,2,50,19.48,-3.64,25.94,26.19,8.46,3.06,0
530.bmp,0,10,54.58,-1.25,27.02,27.04,5.3,7.48,10
530.bmp,1,37,36.37,34.69,27.31,44.15,31.87,2.65,2
530.bmp,2,57,12.88,-5.05,12.98,13.93,13.54,10.11,0
530.bmp,3,77,27.22,14.8,19.72,24.65,12.5,2.64,1
531.bmp,0,40,58.47,20.73,43.8,48.45,21.76,2.13,3
531.bmp,1,59,58.39,24.41,45.45,51.59,25.79,1.9,3
531.bmp,2,78,61.48,30.15,51.71,59.86,33.91,1.58,3
532.bmp,0,8,58.29,-0.91,31.15,31.16,5.1,6.53,10
532.bmp,1,36,71.37,-8.59,62.38,62.97,34.73,4.83,4
532.bmp,2,55,19.82,-5.04,14.87,15.7,17.69,3.04,0
532.bmp,3,76,43.3,37.05,33.55,49.98,33.17,2.69,2
533.bmp,0,12,42.79,10.03,-24.83,26.78,48.41,1.87,7
533.bmp,1,28,54.6,-24.84,10.06,26.8,27.35,1.13,5
533.bmp,2,46,30.92,8.61,8.52,12.11,16.61,0.56,1
533.bmp,3,81,51.21,-8.06,28.14,29.27,9.51,4.95,10
534.bmp,0,17,50.46,-2.23,27.91,28,5.99,5.93,10
534.bmp,1,36,36.97,35.16,28.7,45.39,38.59,2.48,2
534.bmp,2,54,63.55,-9.15,59.95,60.64,38.52,5.77,4
534.bmp,3,74,39.07,37.12,23.58,43.97,39.98,2.32,2
535.bmp,0,18,28.41,14.06,24.16,27.96,11.98,1.01,1
535.bmp,1,35,54.58,-1.25,-1.92,2.29,30.3,1.98,8
535.bmp,2,55,31.01,13.47,29.02,31.99,10.76,3.81,1
535.bmp,3,81,52.73,-1.62,26.34,26.39,4.72,5.71,10
536.bmp,0,21,64.61,-1.55,23,23.05,7.12,7.3,10
536.bmp,1,50,38.58,11.93,20.73,23.92,11.53,4.06,1
536.bmp,2,67,48.75,33.65,28.04,43.8,30.43,2.24,2
536.bmp,3,86,50.25,35.7,27.35,44.98,32.49,1.56,2
537.bmp,0,14,61.18,29.97,50.12,58.4,32.5,1.63,3
537.bmp,1,34,59.89,26.92,49.61,56.44,29.7,1.22,3
537.bmp,2,53,73.9,-7.45,56.62,57.11,26.62,1.7,4
537.bmp,3,80,64.63,-3.52,31.47,31.66,6.47,7.16,10
538.bmp,0,11,37.82,12.28,-22.73,25.84,52.04,4.81,7
538.bmp,1,31,43.79,-21.17,34.3,40.31,24.95,4.69,5
538.bmp,2,51,8.44,-3.69,7.25,8.13,22.29,6.31,0
539.bmp,0,15,33.14,4.45,15.72,16.34,6.58,4.11,1
539.bmp,1,36,41.59,-19.89,17.8,26.7,17.94,4.84,5
539.bmp,2,54,45.91,26.02,35.81,44.27,33.62,3.43,3
540.bmp,0,21,49.04,28.36,36.14,45.94,37.77,1.09,3
540.bmp,1,43,46.63,24.61,33.75,41.77,33.33,1.11,3
540.bmp,2,59,63.97,-9.55,53.36,54.21,39.93,1.38,4
540.bmp,3,80,53.38,-6.45,23.61,24.48,10.38,5.4,10
541.bmp,0,17,55.32,-2,21.64,21.73,4.13,3.18,10
541.bmp,1,37,54.73,17.66,37.44,41.39,28.7,3.59,3
541.bmp,2,55,17.96,-5.09,12.81,13.79,5.23,3.35,0
541.bmp,3,78,35.29,12.83,18.62,22.62,16.01,5.12,1
542.bmp,0,19,58.73,-0.76,25.98,25.99,4,5.72,10
542.bmp,1,47,56.22,32.32,49.76,59.33,36.83,1.2,3
542.bmp,2,65,19.11,-3.31,17.07,17.39,12.25,2.72,0
542.bmp,3,82,42.25,36.91,38.53,53.36,35.73,3.48,2
543.bmp,0,13,63.98,-2.61,31.03,31.14,5.19,4.04,10
543.bmp,1,42,60.13,-2.62,33.06,33.17,5.67,4.73,10
543.bmp,2,60,47.31,11.48,-23.53,26.18,55.07,2.02,7
543.bmp,3,82,78.83,-9.64,59.02,59.8,30.74,2.67,4
544.bmp,0,14,35.64,0.56,25.48,25.48,7.03,5.4,10
544.bmp,1,41,41.96,27.87,41.09,49.65,37.87,1.6,3
544.bmp,2,60,54.36,-1.91,4.67,5.05,15.02,3.05,8
544.bmp,3,81,31.27,7.13,-34.32,35.05,54.95,2.46,6
545.bmp,0,9,66.38,-6.48,27.68,28.43,8.71,3.87,10
545.bmp,1,45,39.53,26.62,23.52,35.52,26.83,4.34,2
545.bmp,2,60,41.06,-4.27,-16.66,17.19,38.58,6.39,6
545.bmp,3,73,46.44,0.57,18.72,18.73,3.07,2.16,1
546.bmp,0,12,53.94,-21.08,34.22,40.19,23.7,1.44,5
546.bmp,1,31,43.35,0.47,-16.09,16.1,45.22,3.51,6
546.bmp,2,52,38.3,10.3,20.41,22.86,11.97,2.65,1
546.bmp,3,76,56.85,-2.41,28.78,28.88,4.48,4.53,10
547.bmp,0,4,30.57,1.77,18.22,18.3,11.03,2.54,1
547.bmp,1,28,59.05,-6.3,1.88,6.57,25.59,1.58,8
547.bmp,2,49,16.88,-3.78,8.61,9.4,18.79,2.95,0
548.bmp,0,11,64.67,-7.05,26.67,27.59,9.32,5.28,10
548.bmp,1,39,80.33,-17.41,71.5,73.59,53.66,2.5,4
548.bmp,2,61,54.35,-17.14,13.81,22.01,18.7,1.5,5
548.bmp,3,83,52.56,6,-12.86,14.19,34.17,0.85,7
549.bmp,0,10,47.24,-3.19,-3.19,4.51,16.41,5.92,8
549.bmp,1,28,37.5,32.25,20.91,38.43,30.06,2.23,2
549.bmp,2,47,37.04,30.72,18.62,35.92,27.96,9.54,2
549.bmp,3,74,48.1,-2.03,14.92,15.06,6.48,2.87,10
550.bmp,0,14,26.09,8.78,13.5,16.1,6.56,8.28,1
550.bmp,1,35,14.78,2.66,12.97,13.24,5.16,7.34,0
550.bmp,2,56,31.2,32.39,21.17,38.7,28.6,3.33,2
551.bmp,0,16,45.07,0.28,16.98,16.99,3.67,2.23,10
551.bmp,1,40,28.36,27.91,18.88,33.69,31,2.15,2
551.bmp,2,56,28.27,26.84,20.25,33.63,30.15,1.21,2
551.bmp,3,76,28.33,11.64,16.83,20.46,14.6,2.73,1
552.bmp,0,14,29.19,2.73,15.8,16.04,4.74,4.03,10
552.bmp,1,37,19.79,30.81,17.76,35.56,32.63,2.33,2
552.bmp,2,56,14.05,12.06,14.52,18.88,13.66,1.5,1
552.bmp,3,73,26.07,-16.37,9.05,18.7,15.54,2.18,5
553.bmp,0,13,17.02,-2.71,15.72,15.95,6,3.79,10
553.bmp,1,38,15.62,2.8,8.88,9.32,3.32,5.15,1
553.bmp,2,58,29.07,-4.74,10.52,11.54,7.02,3.38,5
553.bmp,3,76,19.76,14.27,-23.36,27.37,37.52,2.22,7
554.bmp,0,12,21.91,10.34,13.97,17.38,10.62,7.16,1
554.bmp,1,34,8.03,2.8,6.45,7.03,15.37,11.96,0
554.bmp,2,54,26.45,27.09,22.44,35.18,23.91,5.62,2
555.bmp,0,13,37.08,-14.95,17.34,22.9,17.27,3.42,5
555.bmp,1,33,15.77,13.77,15.23,20.53,12.43,2.01,1
555.bmp,2,52,11.52,-2.41,12.19,12.42,8.78,2.48,0
556.bmp,0,18,39.85,-1.44,18.25,18.31,5.86,2.28,10
556.bmp,1,38,25.96,28.52,17.33,33.37,31.62,3.84,2
556.bmp,2,55,52.57,-8.94,46.88,47.72,34.9,1.55,4
556.bmp,3,77,28.27,33.14,15.31,36.51,35.98,5.73,2
557.bmp,0,13,33.27,23.22,-1.14,23.25,43.35,2.22,2
557.bmp,1,32,30.63,19.16,-3.08,19.4,39.87,2.6,2
557.bmp,2,47,14.6,0.8,-11.31,11.34,28.53,3.89,0
557.bmp,3,63,13.94,-6.22,-9.98,11.76,31.26,9.6,0
557.bmp,4,81,25.43,-1.23,-0.72,1.43,39.28,8.43,1
558.bmp,0,9,31.64,0.48,9.07,9.08,0.96,6.09,10
558.bmp,1,30,24.59,22.55,18.73,29.32,24.42,4,3
558.bmp,2,53,50.79,0.77,0.82,1.12,7.29,8.66,9
558.bmp,3,72,30.99,21.98,22.65,31.56,25.88,4.23,3
559.bmp,0,15,52.75,8.98,-8.58,12.42,35.94,4.14,7
559.bmp,1,31,38.66,-18.33,18.28,25.89,21.59,7.3,5
559.bmp,2,54,41.38,34.62,26.59,43.66,33.03,3.04,2
560.bmp,0,12,26.17,15.55,-26.81,30.99,42.6,2.86,7
560.bmp,1,28,43.06,-17.92,3.41,18.24,21.99,2.17,5
560.bmp,2,46,17.1,7.3,5.46,9.12,9.8,0.82,1
560.bmp,3,80,38.46,-4.61,22.7,23.17,11.16,3.74,10
561.bmp,0,34,22.66,26.11,13.02,29.17,21.56,3.13,2
561.bmp,1,54,11.12,-0.83,2.97,3.08,11.16,2.42,0
561.bmp,2,74,15.77,12.95,6.91,14.68,10.24,2.22,1
562.bmp,0,37,51.37,19.86,32.38,37.98,19.37,1.09,3
562.bmp,1,57,52.98,22,34.7,41.09,22.34,1.23,3
562.bmp,2,75,51.56,26.84,35.52,44.52,27.03,0.83,3
563.bmp,0,12,63.17,-0.56,2.09,2.17,10.4,2.46,9
563.bmp,1,34,12.83,8.97,12.8,15.63,7.44,6.36,1
563.bmp,2,53,20.39,27.61,16.45,32.14,26.39,4.03,2
564.bmp,0,15,49.68,-4.09,22.23,22.61,8.56,2.51,10
564.bmp,1,48,33.66,26.02,16.91,31.03,24.57,5.29,2
564.bmp,2,62,33.07,-1.72,-11.66,11.78,27.58,4.38,6
564.bmp,3,75,41.59,2,12.48,12.64,3.29,3.4,1
565.bmp,0,9,19.34,13.55,-22.72,26.46,43.48,4.04,7
565.bmp,1,29,23.16,-15.79,17.93,23.89,18.98,4.83,5
565.bmp,2,50,4.36,-0.35,2.8,2.82,17.05,0.68,0
565.bmp,3,74,21.88,-0.23,14.22,14.22,6.25,6.56,10
566.bmp,0,16,43.71,-1.2,21.42,21.46,3.68,4.72,10
566.bmp,1,44,38.55,27.95,36,45.58,28.93,2.96,3
566.bmp,2,61,14.49,1.16,13,13.05,10.36,2.38,0
566.bmp,3,79,31,31.79,25.13,40.52,29.9,1.99,2
567.bmp,0,14,16.34,10.44,12.22,16.07,15.28,1.07,1
567.bmp,1,31,36.68,-0.58,0.38,0.69,23.82,3.34,8
567.bmp,2,50,20.25,9.55,21.34,23.38,9.09,2.69,1
567.bmp,3,75,37.74,2.05,18.22,18.33,6.04,6.22,10
568.bmp,0,18,30.92,1.62,-2.89,3.31,15.22,3.68,8
568.bmp,1,36,22.63,29.2,23.33,37.37,29.19,3.26,2
568.bmp,2,54,21.6,26.59,18.95,32.65,25.31,4.22,2
568.bmp,3,81,21.83,-2.61,14.05,14.29,5.07,2.84,10
569.bmp,0,12,58.65,-1.5,28.44,28.48,4.93,4,10
569.bmp,1,41,60.08,-2.86,28.34,28.49,6.22,4.18,10
569.bmp,2,59,45.95,12.14,-28.41,30.89,56.02,0.67,7
569.bmp,3,80,78.73,-8.95,59.66,60.32,34.94,1.28,4
570.bmp,0,16,35.79,-0.84,13.66,13.68,2.13,3.55,10
570.bmp,1,39,33.67,22.97,27.23,35.63,29.51,2.73,3
570.bmp,2,57,8.8,-1.86,3.77,4.2,8.54,2.01,0
570.bmp,3,77,19.23,13.72,14.27,19.79,16.31,1.05,1
571.bmp,0,13,27.46,8.5,7.03,11.03,8.91,6.7,1
571.bmp,1,34,44.29,-12.36,4.17,13.04,12.35,2.63,5
571.bmp,2,53,41.82,21.03,22.39,30.72,26.24,0.98,3
571.bmp,3,73,57.09,-1.2,11.2,11.27,4.02,0.61,10
572.bmp,0,42,62.97,-8.88,48.55,49.35,27.61,1.36,4
572.bmp,1,62,15.97,-6.47,15.98,17.24,11.68,4.59,0
572.bmp,2,82,34.31,34.73,28.39,44.86,32.57,2.03,2
573.bmp,0,12,34.07,0.11,17.36,17.36,4.1,9.98,10
573.bmp,1,38,31.67,26.53,30.42,40.37,32.76,4.48,3
573.bmp,2,57,53.87,-1.86,0.38,1.9,13.27,1.5,8
573.bmp,3,78,28.22,9.84,-36.09,37.41,51.04,1.45,6
574.bmp,0,42,38.4,8.17,19.75,21.37,9.41,10.97,1
574.bmp,1,60,47.84,33.19,24.94,41.51,30.81,1.68,2
574.bmp,2,78,48.18,32.56,32.89,46.28,30.63,1.07,2
575.bmp,0,10,66.84,-6.28,25.55,26.31,9.67,4.18,10
575.bmp,1,39,83.23,-16.61,71.41,73.31,55.01,1.91,4
575.bmp,2,62,59.91,-22.2,14.62,26.59,23.8,1.9,5
575.bmp,3,83,55.33,8.64,-18.78,20.67,38.84,1.29,7
576.bmp,0,14,34.53,22.75,31.52,38.88,20.06,1.51,3
576.bmp,1,34,31.85,14.98,31.47,34.85,12.91,1.77,3
576.bmp,2,54,42.48,-1.79,35.42,35.47,11.72,4.65,4
576.bmp,3,77,32.6,2.02,17.1,17.22,8.18,4.19,10
577.bmp,0,12,53.17,-23.18,23.44,32.96,25.86,2.18,5
577.bmp,1,31,46.67,-0.41,-21.6,21.61,45.67,2.13,6
577.bmp,2,51,42.01,6.2,9.93,11.71,14.48,4.09,1
578.bmp,0,6,28.59,2.42,8.81,9.14,9.18,6.48,1
578.bmp,1,27,42.61,-4.05,0.52,4.08,16.81,0.79,8
578.bmp,2,52,10.19,-1.61,1.61,2.28,15.52,1.03,0
579.bmp,0,20,48.18,-3.6,17.91,18.27,9.8,5.76,10
579.bmp,1,39,33.76,28.91,18.27,34.19,35.68,6.44,2
579.bmp,2,58,57.81,-16.44,56.37,58.72,49.36,5.04,4
579.bmp,3,80,34.55,32.5,23.16,39.91,40.67,2.9,2
580.bmp,0,13,23.25,13.19,24.22,27.58,15.24,5.21,1
580.bmp,1,35,3.37,1.06,2.58,2.79,16.38,3.62,0
580.bmp,2,55,35.16,31.38,26.52,41.08,33.34,3.23,2
580.bmp,3,80,46.94,-2.5,18.12,18.3,1.6,3.35,10
581.bmp,0,12,51.46,-2.47,-10.06,10.36,24.05,1.51,8
581.bmp,1,31,36.75,29.08,25.52,38.69,34.34,4.28,2
581.bmp,2,49,36.24,24.03,24.62,34.41,29.3,4.3,2
581.bmp,3,76,47.2,-4.59,16.75,17.37,3.08,6.87,10
582.bmp,0,18,59.48,-4.64,13.22,14.01,7.38,3.66,10
582.bmp,1,41,39.97,33.25,21.34,39.51,42.41,1.61,2
582.bmp,2,61,33.61,9.77,15,17.9,18.4,1.22,1
582.bmp,3,80,40.99,-28.45,4.55,28.81,22.21,1.57,5
583.bmp,0,12,43.89,17.61,-39.5,43.25,57.97,1.32,7
583.bmp,1,29,53.57,-24.97,5.79,25.63,23.7,1.92,5
583.bmp,2,47,30.98,6.99,5.14,8.68,13.82,6.75,1
583.bmp,3,83,38.96,-4.88,22.82,23.34,8.35,7.02,10
584.bmp,0,12,30.94,24.8,-2.3,24.9,46.85,1.7,2
584.bmp,1,32,26.76,20.45,-5.89,21.28,41.54,1.64,2
584.bmp,2,48,1.41,0.98,-5.89,5.97,36.15,0.51,0
584.bmp,3,63,1.34,0.78,-7.08,7.12,34.96,1,0
584.bmp,4,82,16.46,-0.16,-0.3,0.34,41.73,5.81,1
585.bmp,0,17,24.37,4.48,14.73,15.4,11.72,2.15,1
585.bmp,1,34,37.15,-4.12,20.59,21,4.5,3.92,8
585.bmp,2,56,23.96,7.19,2.98,7.78,23.41,3.11,1
585.bmp,3,82,44.02,-0.56,24.95,24.96,1.45,4.84,10
586.bmp,0,18,49.68,-4.22,14.9,15.48,8.47,3.24,10
586.bmp,1,43,36.57,29.64,17.08,34.21,36.69,3.44,2
586.bmp,2,63,36.45,29.17,17.77,34.16,36.45,4.45,2
586.bmp,3,84,34.69,8.03,16.77,18.6,16.98,2.81,1
587.bmp,0,12,23.6,14.33,26.61,30.22,18.45,2.66,1
587.bmp,1,34,3.97,0.78,1.17,1.41,16.79,4.31,0
587.bmp,2,55,36.51,36.25,27.78,45.67,39.4,1.83,2
587.bmp,3,76,52.06,-2.7,16.7,16.92,1.35,4.95,10
588.bmp,0,42,70.12,-17.14,56.86,59.39,40.76,2.91,4
588.bmp,1,61,15.66,-1.49,-3.27,3.6,22.07,7.7,0
588.bmp,2,85,39.79,33.43,30.71,45.39,37.99,1.85,2
589.bmp,0,16,53.43,9.39,-20.72,22.75,46.13,1.12,7
589.bmp,1,34,36.18,-22.91,9.5,24.8,20.76,10.43,5
589.bmp,2,59,36.45,31.84,39.08,50.41,41.98,2.04,2
589.bmp,3,82,57.03,-6.53,19.08,20.17,3.43,4.27,10
590.bmp,0,11,71.6,-5.27,-11.86,12.98,15.93,5.62,9
590.bmp,1,31,20.51,7.22,18.02,19.41,17.67,5.69,1
590.bmp,2,53,27.82,30.7,20.87,37.12,38.14,4.13,2
590.bmp,3,71,32.46,-3.14,12.07,12.47,8.11,5.01,10
591.bmp,0,13,51,-22.64,12.95,26.08,22.14,2.75,5
591.bmp,1,34,33.83,12.28,17.3,21.21,14.27,3.24,1
591.bmp,2,54,13.59,0.84,12.92,12.95,7.67,8.39,0
592.bmp,0,10,61.51,-4.23,12.38,13.08,3.9,7.01,10
592.bmp,1,30,49.96,15.84,31.36,35.13,30.77,2.93,3
592.bmp,2,52,85.08,-5.91,-9.77,11.41,18.32,5.56,9
592.bmp,3,72,50.09,17.67,35.09,39.29,34.78,2.77,3
593.bmp,0,12,53.84,-3.88,19.3,19.68,3.09,2.8,10
593.bmp,1,37,32.22,9.56,16.36,18.95,14.01,1.28,1
593.bmp,2,62,39.51,10.73,-31.42,33.2,55.48,1.78,7
593.bmp,3,83,43.71,27.95,19.34,33.99,31.22,1.67,2
594.bmp,0,15,52.74,-6.14,18.28,19.29,2.81,4.89,10
594.bmp,1,39,39.29,5.28,8.61,10.1,12.3,3.69,1
594.bmp,2,61,56.05,-18.91,7.41,20.31,16.67,2.76,5
594.bmp,3,79,50.68,16.34,-39.48,42.73,59.25,2.7,7
595.bmp,0,11,39.45,-3.58,15.89,16.29,4.39,2.58,10
595.bmp,1,42,44.87,13.95,40.83,43.15,34.86,2.25,3
595.bmp,2,62,28.76,13.03,12.03,17.74,19.35,2.04,1
595.bmp,3,83,37.17,-24.17,6.41,25.01,18.86,0.97,5
596.bmp,0,5,58.92,-4.25,12.31,13.03,2.24,3.64,10
596.bmp,1,33,36.3,26.61,18.19,32.23,30.87,1.02,2
596.bmp,2,54,8.87,-2.78,2.77,3.92,11.84,10.06,0
596.bmp,3,75,26.13,11.09,19.05,22.04,15.8,1.73,1
597.bmp,0,13,53.85,-4.11,-12.98,13.62,24.15,1.42,8
597.bmp,1,31,43.48,30.8,22.44,38.1,37.69,3.02,2
597.bmp,2,48,45.28,29.03,18.67,34.52,35.01,3.15,2
597.bmp,3,78,45.32,-5.59,8.42,10.11,2.75,3.83,10
598.bmp,0,18,52.33,-4.59,21.17,21.66,0.79,8.8,10
598.bmp,1,45,62.04,9.88,46.08,47.12,29.37,1.5,3
598.bmp,2,64,11.1,-3.47,7.52,8.28,12.92,2.28,0
598.bmp,3,82,42.26,29.06,32.64,43.7,35.63,1.92,2
599.bmp,0,15,37.3,6.31,-26.12,26.88,44.63,2.98,7
599.bmp,1,37,41.22,-18.88,12.8,22.81,15.09,5.68,5
599.bmp,2,58,10.91,-3.42,-4.32,5.51,21.53,3.5,0
599.bmp,3,83,47.34,-4.88,13.16,14.04,4.05,6.69,10
600.bmp,0,13,44.57,-4.23,9.7,10.58,4.84,7.74,10
600.bmp,1,35,51.54,14.1,30.84,33.91,32.58,2.86,3
600.bmp,2,53,20.23,-3.41,-6.7,7.52,12.15,5.35,0
600.bmp,3,77,36.65,8.86,13.72,16.33,17.12,2.13,1
601.bmp,0,9,62.09,11.8,54.36,55.62,35.24,1.16,3
601.bmp,1,30,59.37,10.19,47.52,48.6,28.3,1.79,3
601.bmp,2,50,68.93,-12.75,54.94,56.4,35.41,2.54,4
601.bmp,3,81,52.06,-1.7,27,27.05,5.51,7.66,10
602.bmp,0,16,18.83,7.51,13.96,15.85,9.64,3.08,1
602.bmp,1,38,17.53,-8.98,13.73,16.41,6.85,4.86,5
602.bmp,2,57,22.89,17.14,30.58,35.05,25.64,4.35,3
602.bmp,3,78,34.38,-1.29,20.48,20.52,6.87,8.5,10
603.bmp,0,40,51.74,-6,22.82,23.6,2.79,6.32,10
603.bmp,1,62,41.65,10.37,-34.29,35.82,57.04,2.02,7
603.bmp,2,86,70.87,-17.02,49.77,52.59,31.66,3.72,4
604.bmp,0,12,37.55,-0.11,24.37,24.37,1.19,2.79,10
604.bmp,1,41,45.24,4.45,29.52,29.85,7.42,1.14,3
604.bmp,2,61,47.44,4.89,30.45,30.84,8.45,1.78,3
604.bmp,3,81,48.62,11.23,47.73,49.03,26.72,2.62,3
605.bmp,0,7,20.84,9,12.11,15.09,13.91,3.11,1
605.bmp,1,33,55.36,-5.58,-9.05,10.63,24.97,1.7,8
605.bmp,2,54,8.11,-2.14,1.25,2.48,14.81,1.26,0
605.bmp,3,75,43.48,-5.88,24.27,24.97,8.51,2.56,10
606.bmp,0,13,55.42,-4.18,5.48,6.9,3.73,6.14,10
606.bmp,1,39,55.63,15.52,35.37,38.62,39.28,1.85,3
606.bmp,2,58,69.78,-3.59,-18.62,18.97,22.3,1.74,8
606.bmp,3,80,47.32,8.57,-50.86,51.58,56.5,2.51,6
607.bmp,0,32,59.08,-17.59,56.44,59.12,41.69,2.08,4
607.bmp,1,58,37.99,-25,10.28,27.03,21.17,2.21,5
607.bmp,2,82,36.64,3.36,-17.84,18.16,35.55,1.44,7
608.bmp,0,10,46.52,-5.97,12.69,14.02,5.34,2.73,10
608.bmp,1,48,28.68,7.22,11.83,13.86,11.33,5.78,1
608.bmp,2,63,61.63,0.09,-4.84,4.84,13.31,2,9
608.bmp,3,79,43.55,2.77,19.45,19.65,13.04,2.37,3
609.bmp,0,9,38.7,0.86,13.61,13.64,7.51,2.24,1
609.bmp,1,24,24,-3.45,7.97,8.68,2.91,13.36,0
609.bmp,2,41,40.52,10.17,18,20.68,16.17,1.66,3
609.bmp,3,74,46.32,-5.66,12.23,13.48,7.49,3.01,10
610.bmp,0,16,62.72,-1.73,24.33,24.39,6.17,5.3,10
610.bmp,1,42,41.93,6.89,25.22,26.14,2.5,1.83,1
610.bmp,2,62,68.71,-2,2.2,2.98,23.66,0.81,8
610.bmp,3,80,41.3,10.19,27.92,29.72,6.5,3.08,1
611.bmp,0,17,60.85,-1.05,25.33,25.35,3.42,4.61,10
